source	target
AARS2	COQ3
AARS2	COQ7
AARS2	DLST
AARS2	EFNB1
AARS2	EHHADH
AARS2	EPHA1
AARS2	FAHD1
AARS2	FGL1
AARS2	FPR1
AARS2	GPR17
AARS2	GRPEL1
AARS2	IARS2
AARS2	MRM2
AARS2	MRPS24
AARS2	NDUFS7
AARS2	OXLD1
AARS2	PFDN5
AARS2	PTCD1
AARS2	PTPA
AARS2	PTRH1
AARS2	QRSL1
AARS2	RARS2
AARS2	RBM3
AARS2	SCGB1D1
AARS2	SDHA
AARS2	SHC2
AARS2	SUCLG1
AARS2	TRMT1
AARS2	UQCRFS1
AARS2	YARS2
AARSD1	ALKBH2
AARSD1	ALMS1
AARSD1	ARID4B
AARSD1	ARRB2
AARSD1	BORA
AARSD1	BRCA2
AARSD1	CREB3
AARSD1	DDHD2
AARSD1	DERL2
AARSD1	DPPA3
AARSD1	DYNLT1
AARSD1	EIF4A3
AARSD1	ELP4
AARSD1	ERCC6L
AARSD1	FAAP100
AARSD1	FAM83H
AARSD1	FBXO7
AARSD1	GDPD5
AARSD1	GNA13
AARSD1	HAUS6
AARSD1	HECTD1
AARSD1	HOOK1
AARSD1	HPS5
AARSD1	HSPB1
AARSD1	IRS4
AARSD1	ITPRID2
AARSD1	JADE2
AARSD1	LUZP1
AARSD1	MAP3K7
AARSD1	MARCHF7
AARSD1	MED22
AARSD1	MLF1
AARSD1	NPHP3
AARSD1	PARVG
AARSD1	PEAK1
AARSD1	PLEKHG7
AARSD1	POC5
AARSD1	PRKAR1B
AARSD1	PYCR3
AARSD1	QPRT
AARSD1	RAD21
AARSD1	RBM14
AARSD1	RGS20
AARSD1	RHOJ
AARSD1	RIC8B
AARSD1	RICTOR
AARSD1	RPL23
AARSD1	S100P
AARSD1	SASS6
AARSD1	SERPINH1
AARSD1	SPANXN3
AARSD1	STIL
AARSD1	TAB1
AARSD1	TAT
AARSD1	TRIM45
AARSD1	TUBA1A
AARSD1	TXK
AARSD1	UBL4B
AARSD1	UBXN1
AARSD1	USP10
AARSD1	WNK1
AARSD1	YKT6
AARSD1	ZMYND19
AARSD1	ZNF185
AASDH	GORASP1
AASDH	KRT40
AASDH	PSME1
AASDH	RNF113A
AASDH	ZNF174
AASDHPPT	ANGPTL4
AASDHPPT	ANKRD39
AASDHPPT	CCNF
AASDHPPT	CRX
AASDHPPT	EFHC2
AASDHPPT	EPB41L5
AASDHPPT	GLO1
AASDHPPT	GTF2IRD1
AASDHPPT	MDFI
AASDHPPT	POTEI
AASDHPPT	PPP1R3C
AASDHPPT	PRKN
AASDHPPT	SIAH1
AASDHPPT	STIL
AASDHPPT	TMEM183A
AASDHPPT	TMEM184A
AASDHPPT	TRAF2
AASDHPPT	TSEN15
AASDHPPT	USP22
AASS	ARHGEF39
AASS	FAM174A
AASS	GPR45
AASS	TRAV20
AASS	VPS37D
AATF	ABT1
AATF	ADARB1
AATF	APP
AATF	ATM
AATF	BTRC
AATF	CHEK2
AATF	DAZAP2
AATF	FBL
AATF	FBXW11
AATF	FGF13
