Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Glucagon signaling pathway	6/107	0.0018102833318787	0.0045472593217429	0	0	5.0125355883227805	31.65051265823672	PPP3CB;PRKAA1;PFKL;EP300;ITPR3;SIRT1
KEGG_2021_Human	Th17 cell differentiation	6/107	0.0018102833318787	0.0045472593217429	0	0	5.0125355883227805	31.65051265823672	PPP3CB;NFATC2;MAPK1;PRKCQ;PLCG1;MAPK3
KEGG_2021_Human	Coronavirus disease	9/232	0.0019621355570398	0.0048353163763257	0	0	3.428387599922012	21.371614619810508	RPS14;RPS9;PRKCB;MAPK1;ADAR;PLCG1;RPL29;MAP3K7;MAPK3
KEGG_2021_Human	Breast cancer	7/147	0.0019707924567014	0.0048353163763257	0	0	4.228663793103448	26.341698057193643	RB1;MAP2K2;APC;MAPK1;BRAF;RAF1;MAPK3
KEGG_2021_Human	Neutrophil extracellular trap formation	8/189	0.0020180792198757	0.0048944220160204	0	0	3.7463825309129177	23.248585530383764	MAP2K2;PRKCB;HDAC1;MAPK1;PLCG1;RAF1;MAP3K7;MAPK3
KEGG_2021_Human	Gastric cancer	7/149	0.0021276311623184	0.0051014792641952	0	0	4.168680184555609	25.64883053299983	RB1;MAP2K2;APC;MAPK1;BRAF;RAF1;MAPK3
KEGG_2021_Human	Leishmaniasis	5/77	0.0022952080751474	0.0054414483579338	0	0	5.843126780626781	35.50828279870291	PRKCB;MAPK1;PTPN6;MAP3K7;MAPK3
KEGG_2021_Human	Serotonergic synapse	6/113	0.0023857181819492	0.0055609414910111	0	0	4.7300148409610525	28.561036120451604	PRKCB;MAPK1;ITPR3;BRAF;RAF1;MAPK3
KEGG_2021_Human	Chemical carcinogenesis	9/239	0.0023983207378294	0.0055609414910111	0	0	3.322854442344046	20.04673592267364	RB1;RPS6KA3;MAP2K2;PRKCB;BAD;RPS6KA1;MAPK1;RAF1;MAPK3
KEGG_2021_Human	Calcium signaling pathway	9/240	0.0024664664603072	0.0056567872078785	0	0	3.308300395256917	19.866240441075604	PPP3CB;STIM1;PRKCB;STIM2;CAMK4;ITPR3;PLCG1;CAMK1;ATP2B1
KEGG_2021_Human	Glutamatergic synapse	6/114	0.0024936196047552	0.0056575670602512	0	0	4.685979971387697	28.08785751586452	PPP3CB;PRKCB;MAPK1;ITPR3;GLS;MAPK3
KEGG_2021_Human	Sphingolipid signaling pathway	6/119	0.0030890607289692	0.0069339554660906	0	0	4.477496296858977	25.8794280363334	MAP2K2;PRKCB;PDPK1;MAPK1;RAF1;MAPK3
KEGG_2021_Human	Cell cycle	6/124	0.0037847702896132	0.0084061740116673	0	0	4.286680730341165	23.90583285491405	RB1;PRKDC;HDAC1;EP300;MCM4;ANAPC2
KEGG_2021_Human	Influenza A	7/172	0.0047103078724541	0.0103528641779981	0	0	3.583385579937304	19.19978713055121	MAP2K2;PRKCB;EP300;MAPK1;ADAR;RAF1;MAPK3
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	8/219	0.0049462995265477	0.0107594762897068	0	0	3.20879752159373	17.03587682628684	RB1;PPP3CB;MAP2K2;NFATC2;EP300;MAPK1;ANAPC2;MAPK3
KEGG_2021_Human	Alzheimer disease	11/369	0.0050159746638941	0.0107997005518536	0	0	2.614831422130746	13.84586584106231	PPP3CB;MAP2K2;APC;BAD;MAPK1;BRAF;ITPR3;RAF1;MAP2K7;GAPDH;MAPK3
KEGG_2021_Human	Tuberculosis	7/180	0.0060132513480521	0.0128161215599898	0	0	3.4162846322503486	17.470161120342656	PPP3CB;BAD;EP300;MAPK1;RAF1;RAB5A;MAPK3
KEGG_2021_Human	Estrogen signaling pathway	6/137	0.0061329304908655	0.0129404833357262	0	0	3.858729482685188	19.65668666194536	MAP2K2;PRKCD;MAPK1;ITPR3;RAF1;MAPK3
KEGG_2021_Human	Aldosterone synthesis and secretion	5/98	0.0064505127484782	0.013343707744401	0	0	4.518886131789357	22.79143446174795	PRKCB;CAMK4;ITPR3;ATP2B1;CAMK1
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	5/98	0.0064505127484782	0.013343707744401	0	0	4.518886131789357	22.79143446174795	PRKCB;PRKCD;PRKCQ;ITPR3;PLCG1
KEGG_2021_Human	Human papillomavirus infection	10/331	0.0066886240863452	0.0137019386623189	0	0	2.644574133779537	13.242300601552357	RB1;MAP2K2;APC;BAD;HDAC1;EP300;MAPK1;ITGB7;RAF1;MAPK3
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	5/100	0.0070158527005147	0.0142340857673904	0	0	4.423301844354476	21.93773271485405	PRKCB;PRKCD;MAPK1;PLCG1;MAPK3
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	6/143	0.0075153015025954	0.0151021773052156	0	0	3.6886062466714704	18.040287575115013	MAP2K2;RIF1;APC;MAPK1;RAF1;MAPK3
KEGG_2021_Human	Longevity regulating pathway	5/102	0.0076149432723294	0.0151580474571841	0	0	4.3316591770200015	21.128285946159615	RPTOR;PRKAA1;HDAC1;CAMK4;SIRT1
KEGG_2021_Human	NF-kappa B signaling pathway	5/104	0.0082487618618881	0.0161156366005407	0	0	4.2437192437192435	20.3600585755794	PRKCB;PRKCQ;PLCG1;ERC1;MAP3K7
KEGG_2021_Human	Toll-like receptor signaling pathway	5/104	0.0082487618618881	0.0161156366005407	0	0	4.2437192437192435	20.3600585755794	MAP2K2;MAPK1;MAP2K7;MAP3K7;MAPK3
KEGG_2021_Human	Prolactin signaling pathway	4/70	0.0098512966811982	0.0190699412819525	0	0	5.079303675048356	23.467155996431224	MAP2K2;MAPK1;RAF1;MAPK3
KEGG_2021_Human	PI3K-Akt signaling pathway	10/354	0.0104459071726879	0.0200371492130649	0	0	2.46483700619478	11.243465008691256	RPTOR;PRKAA1;MAP2K2;BAD;PDPK1;MAPK1;ITGB7;RAF1;EIF4B;MAPK3
KEGG_2021_Human	Endocytosis	8/252	0.0111005998896818	0.021006244009166	0	0	2.7701369668582783	12.467710929010831	ARFGEF2;IQSEC1;CBLB;ASAP1;RAB5A;ARFGAP1;GIT1;WASHC2A
KEGG_2021_Human	Toxoplasmosis	5/112	0.0111502337868559	0.021006244009166	0	0	3.924834251937056	17.64721189226351	PDPK1;BAD;MAPK1;MAP3K7;MAPK3
KEGG_2021_Human	Viral carcinogenesis	7/203	0.0112582458616342	0.0210220343080072	0	0	3.011853448275862	13.513145686517708	RB1;SNW1;HDAC1;BAD;EP300;MAPK1;MAPK3
KEGG_2021_Human	Inositol phosphate metabolism	4/73	0.0113758822602377	0.0210553610255277	0	0	4.857724329324699	21.744435920191147	PLCG1;PIK3C2A;PI4K2A;MTM1
KEGG_2021_Human	Cholinergic synapse	5/113	0.0115559992500176	0.0212027464500323	0	0	3.88829534662868	17.343937990819104	PRKCB;CAMK4;MAPK1;ITPR3;MAPK3
KEGG_2021_Human	Pathways in cancer	13/531	0.0117911601297733	0.021447713684329	0	0	2.136869170055011	9.48856490990256	RB1;MAP2K2;BAD;PRKCB;HDAC1;BRAF;APC;TPR;EP300;MAPK1;PLCG1;RAF1;MAPK3
