	αCD3_5min	αCD3_αCD226_5min	αCD3_αICOS_5min	αCD3_αCD2_5min	αCD3_10min	αCD3_αCD226_10min	αCD3_αICOS_10min	αCD3_αCD2_10min
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	0.1660955478131516	1.924749047580811	0.12767877397432884	1.0259723262907317	0.52864197937808	0.016237198870685563	0.14865301070874162	0.3057764306884429
GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	0.66993179617921	0.6416943968298487	0.48391786419774185	1.2117433133351296	1.5825178836040634	0.1392701369719396	1.0899051114393983	0.659036044317501
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.41624012907871205	1.4623979978989567	1.7103994661168025	0.5500309913239524	0.43505990971895103	0.6020599913279624	0.7283537820212287	1.2587056809417005
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1.457377196523906	1.4099787928704197	0.4386142577989257	0.9040330807000176	0.8680660885720963	0.792391689498254	0.9125935277366873	0.7965743332104297
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION	0.4410809012581629	0.7919883511995598	0.6496041115650205	0.3991970123915401	1.3263358609287517	0.22575494054578416	0.4425487884276153	0.7970033547535683
GOBP_NEGATIVE_REGULATION_OF_TRANSPORT	0.3158610044966293	0.8131571368804681	0.9744458955276121	0.719532163250908	1.5615161826126844	0.4468445744668986	0.8721068677676465	0.8525390184153335
GOBP_NERVOUS_SYSTEM_PROCESS	0.8402237522391826	1.5102675943671549	0.5922476491143751	0.25304392044697543	0.7470516256201526	2.1741567592784863	1.0367773974945378	1.766691628216594
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION	0.08992168788100775	0.19583531725143838	0.16186778092531107	0.22867473660951124	0.04600004542981347	0.16785794172799753	20.0	0.6298890851927199
GOBP_NEURAL_TUBE_DEVELOPMENT	1.384576047114056	1.8476754629020695	0.3722346084371358	0.6429328745307732	0.7708520116421442	0.31603590428893946	0.5195251032727498	0.15293335911458358
GOBP_NEURON_PROJECTION_GUIDANCE	1.7346855566025545	0.20197177803565872	0.084789380332203	0.35178788429783575	0.6059600321277174	0.6003602064500682	0.43365556093857216	0.3560775619948867
GOBP_NUCLEAR_TRANSPORT	0.6025317941792561	0.5677105164365167	1.2608049937032677	0.12584257560654447	0.710740222887443	1.453225651009892	1.1973935526577784	0.7108192771518136
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.13849277526402856	0.3133177103411495	0.28812210992626386	0.33805507352891123	0.5477309377127285	0.750061051168335	1.5728716022004803	0.22077887000672156
GOBP_NUCLEOTIDE_METABOLIC_PROCESS	0.5022319753026936	0.5554079701072576	0.09611241042959386	0.08839063270426474	1.3552195548368449	0.36274730710052805	0.3034307451821347	0.030033491880452783
GOBP_OSSIFICATION	0.5936268237910997	1.3906407699305383	0.40631404427581114	0.12643030469804598	1.2640988772681183	0.7163125600821116	0.46254624657146687	0.4382173699651322
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	0.2820359555996729	0.21613324979307122	2.1013542249988215	0.041109233947094884	1.2461895156352931	0.25596555469146826	0.11033922803801151	0.7753583501994737
GOBP_PEPTIDYL_SERINE_MODIFICATION	0.30974522756219325	0.546962474513144	1.8211858826088458	0.39328957716136165	1.3705239743084745	0.5117447194830751	0.3046773612811673	0.5630358834262557
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	0.16873906080165918	0.9030899869919435	1.3448832793698635	0.7246319946571553	0.5267143698115224	0.38444829465486074	0.3893398369101201	0.054558771139292805
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	1.9405164849325702	1.108948797206438	1.343864722485468	1.6118617874096655	0.7255924844564329	2.047761471896603	0.37012676236815345	0.15418189963525594
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	20.0	1.9559936992390903	0.9314136474333381	1.8812529392903443	1.242594664796938	2.9885589568786317	1.3067531684668678	0.7011578904841945
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.3828028621012374	0.37026858207417923	0.41713847071324484	0.6315559801451124	1.4809645938014229	0.4563466885940895	1.1774899542482467	0.9397040981127489
