condition	Name	Term	ES	NES	pval	fdr	FWER p-val	Tag %	Gene %	Lead_genes	kinase
αCD3_10min	prerank	LKB1	0.5167774694396287	0.888194076474957	0.6629213483146067	0.8036096639620657	1.0	3/8	11.73%	PRKAA1;MARK2;SIK3	LKB1
αCD3_10min	prerank	CDK5	-0.3459388457270113	-0.8830171528673435	0.6139240506329114	0.9991907152973203	1.0	2/23	4.02%	DPYSL2;DBN1	CDK5
αCD3_10min	prerank	ATR	0.43602751073529183	0.8728262286810022	0.6883435582822086	0.8123430810940205	1.0	2/19	5.99%	CHEK1;PRKDC	ATR
αCD3_10min	prerank	GSK3B	-0.3029334985963327	-0.852329987683639	0.7368421052631579	0.9647409369309717	1.0	3/33	4.27%	DPYSL2;SPAG5;ETS1	GSK3B
αCD3_10min	prerank	ULK1	-0.48105436573311366	-0.8508011245802047	0.627906976744186	0.8794450045898482	1.0	5/5	52.17%	SEC16A;RB1CC1;ATG16L1;RIPK1;RPTOR	ULK1
αCD3_10min	prerank	CK2A1	-0.26671544283993476	-0.850307106311507	0.8279569892473119	0.8065717596424433	1.0	9/49	8.29%	SIRT1;NCOA2;IFI16;TCOF1;NCOR1;GBF1;EEF1D;PAK1;AATF	CK2A1
αCD3_10min	prerank	Chk2	0.45979345978067776	0.8413005903234841	0.7131681877444589	0.8432368172936338	1.0	4/10	30.19%	INCENP;RB1;CDC25C;TRIM28	Chk2
αCD3_10min	prerank	AurA	-0.351758460005896	-0.836317945091676	0.7216494845360825	0.7684030916939375	1.0	2/16	2.54%	SIRT1;SPAG5	AurA
αCD3_10min	prerank	DNAPK	0.4655370849155804	0.8260446862007196	0.7429340511440108	0.8484706147602585	1.0	2/9	15.09%	PRKDC;MED1	DNAPK
αCD3_10min	prerank	P38B	0.49326352380491106	0.8122431050948136	0.7581602373887241	0.852450154395458	1.0	2/6	30.84%	CDC25B;EP300	P38B
αCD3_10min	prerank	CK1D	0.47977672582339403	0.8116383323720023	0.767379679144385	0.8384783634035982	1.0	4/7	29.61%	APC;SMARCA4;NCOA3;PRKD2	CK1D
αCD3_10min	prerank	CAMK2A	-0.4307654725079202	-0.7965495982992149	0.6879194630872483	0.7710998652068011	1.0	2/6	10.75%	ETS1;AKAP5	CAMK2A
