condition	Name	Term	ES	NES	pval	fdr	fwer	tag_pct	gene_pct	Lead_genes	go_id	term_label
αCD3_5min	prerank	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	0.39678598486716765	0.9702768438302031	0.5451505016722408	0.9730666257391044	1.0	19/60	30.02%	GAPDH;NCBP1;EPRS1;ABCF1;BUD13;PRPF6;FTSJ3;ADAR;HEATR1;DDX10;EIF5B;RBM10;SRSF9;SNRNP200;SETX;UTP14A;NOP2;UTP18;RBM34		GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS
αCD3_5min	prerank	GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.4431321152356412	0.9701016130026615	0.5258620689655172	0.9711079788816515	1.0	7/26	19.36%	CLIP1;VASP;LIMA1;MAPRE1;CLASP1;NF2;EVL		GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION
αCD3_5min	prerank	GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.459281937947476	0.9699781280492936	0.5525982256020279	0.9689638819042681	1.0	6/22	21.41%	HTT;KIF21A;CEP131;AP3D1;NDEL1;PCM1		GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT
αCD3_5min	prerank	GOBP_MITOTIC_CELL_CYCLE_PROCESS	0.37051113251527173	0.9695552310415915	0.5677083333333334	0.9677501590588057	1.0	33/131	21.58%	EML3;SMARCD2;SEPTIN6;MKI67;HTT;CDC27;SMC4;BAZ1B;RIPOR2;EML4;TACC3;PBRM1;TAOK3;TREX1;KIF20A;RBL1;WDR62;MAPRE1;CLASP1;PRKCB;STMN1;PHIP;GIGYF2;RBL2;BCCIP;TOPBP1;MARK3;EIF4G1;RB1;MDC1;TPR;NDEL1;KHDRBS1		GOBP_MITOTIC_CELL_CYCLE_PROCESS
αCD3_5min	prerank	GOBP_REGULATION_OF_CELL_SIZE	-0.3853960120279145	-0.9693874586461952	0.47863247863247865	0.8106647826822483	1.0	4/19	7.88%	LIMK1;PAK1;MAP3K7;AKT1S1		GOBP_REGULATION_OF_CELL_SIZE
αCD3_5min	prerank	GOBP_PROTEIN_DEPOLYMERIZATION	0.4577959323094355	0.9685411501288793	0.5416666666666666	0.9684517293933788	1.0	6/22	17.47%	KIF21A;LIMA1;DMTN;ARHGEF2;CLASP1;STMN1		GOBP_PROTEIN_DEPOLYMERIZATION
αCD3_5min	prerank	GOBP_LEUKOCYTE_PROLIFERATION	0.4174755927980093	0.9683224593710992	0.5318396226415094	0.9666810658762164	1.0	16/37	28.88%	SPN;PTPN22;PRKCQ;MAPK3;SASH3;RIPOR2;INPP5D;HLA-E;CBLB;PLCL2;DOCK2;MAPK1;NFATC2;PPP3CB;DOCK8;VAV1		GOBP_LEUKOCYTE_PROLIFERATION
αCD3_5min	prerank	GOBP_NUCLEAR_EXPORT	0.42102064615972656	0.9680668341587245	0.5439624853458382	0.9649812965586695	1.0	6/38	4.35%	CAMK1;EMD;IWS1;NCBP1;NUP214;NUP153		GOBP_NUCLEAR_EXPORT
αCD3_5min	prerank	GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	0.4151943931654131	0.9670128745417015	0.5568581477139508	0.9658304762253482	1.0	12/40	25.76%	MATR3;IWS1;INTS1;CCM2;MED1;JUNB;NMT1;BTF3;NDEL1;E2F7;E2F8;MAPK1		GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT
αCD3_5min	prerank	GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	0.41939737900498375	0.9667653264688595	0.527122641509434	0.9641462671413987	1.0	9/37	17.47%	SMARCD2;KIF21A;LIMA1;DMTN;WIPI2;HMGA1;ARHGEF2;CLASP1;STMN1		GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY
