condition	go_id	term_label	n_lead_genes	file	string_url_truncated
αCD3_αICOS_10min		GOBP_VESICLE_ORGANIZATION	6	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_VESICLE_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ARFGEF2%0DDIAPH3%0DHOOK3%0DLYST%0DPI4K2A%0DZDHHC20&species=9606
αCD3_αICOS_10min		GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	10	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION.txt	https://string-db.org/cgi/network?identifiers=EZH2%0DHOOK3%0DMED1%0DPCM1%0DRBM15%0DSIRT1%0DSMARCA4%0DZC3H12A%0DZC3H8%0DZEB1&species=9606
αCD3_αICOS_10min		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	14	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS.txt	https://string-db.org/cgi/network?identifiers=EZH2%0DHOOK3%0DMED1%0DPCM1%0DPTPN6%0DRBM15%0DRPL29%0DSFMBT1%0DSIRT1%0DSMARCA4%0DSUDS3%0DZC3H12A%0DZC3H8%0DZEB1&species=9606
αCD3_αICOS_10min		GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION	5	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION.txt	https://string-db.org/cgi/network?identifiers=AKNA%0DDBN1%0DHOOK3%0DPCM1%0DWDR62&species=9606
αCD3_αICOS_10min		GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	4	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT.txt	https://string-db.org/cgi/network?identifiers=ITPR3%0DPDPK1%0DPLCG1%0DSTIM2&species=9606
αCD3_αCD2_10min		GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	8	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=ARID4B%0DBCL9L%0DLATS1%0DLEMD3%0DPTPRK%0DSIRT1%0DSNW1%0DZEB1&species=9606
αCD3_αCD2_10min		GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	9	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	https://string-db.org/cgi/network?identifiers=ARID4B%0DBCL9L%0DLATS1%0DLEMD3%0DPAK2%0DPTPRK%0DSIRT1%0DSNW1%0DZEB1&species=9606
αCD3_αCD2_10min		GOBP_REGULATION_OF_MACROAUTOPHAGY	8	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	https://string-db.org/cgi/network?identifiers=GSK3A%0DHTT%0DMAP3K7%0DMAPK3%0DMTM1%0DOPTN%0DRAB3GAP1%0DUSP36&species=9606
αCD3_αCD2_10min		GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	5	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI.txt	https://string-db.org/cgi/network?identifiers=ERC1%0DMON2%0DRCSD1%0DTBC1D10B%0DWASHC2A&species=9606
αCD3_αCD2_10min		GOBP_NERVOUS_SYSTEM_PROCESS	18	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	https://string-db.org/cgi/network?identifiers=CAMK4%0DCIC%0DDIAPH3%0DEP300%0DGIGYF2%0DGIT1%0DGLS%0DGPRIN3%0DGSK3A%0DHTT%0DITPR3%0DMAPK1%0DMAPK3%0DMYCBP2%0DPPP3CB%0DRAB3GAP1%0DRCSD1%0DRIPOR2&species=9606
